Time (s)	Liquid height relative to zero point (mm)
0.0000	-0.4652
0.0167	-0.3204
0.0333	-0.0886
0.0500	0.1721
0.0667	0.4618
0.0833	0.7514
0.1000	1.0122
0.1167	0.8673
0.1333	0.2590
0.1500	-0.2335
0.1667	-0.6101
0.1833	-0.7839
0.2000	-0.7549
0.2167	-0.5521
0.2333	-0.2625
0.2500	0.0852
0.2667	0.4328
0.2833	0.7225
0.3000	0.9832
0.3167	0.8963
0.3333	0.5776
0.3500	0.2300
0.3667	-0.0307
0.3833	-0.1176
0.4000	-0.0017
0.4167	0.1721
0.4333	0.4618
0.4500	0.7514
0.4667	1.0122
0.4833	1.1860
0.5000	1.1570
0.5167	0.7804
0.5333	0.4038
0.5500	0.0562
0.5667	-0.1176
0.5833	-0.1756
0.6000	-0.0017
0.6167	0.2590
0.6333	0.5776
0.6500	0.7804
0.6667	1.0122
0.6833	1.1860
0.7000	1.0411
0.7167	0.8963
0.7333	0.6645
0.7500	0.4907
0.7667	0.3749
0.7833	0.4038
0.8000	0.6066
0.8167	0.8673
0.8333	1.1280
0.8500	1.3308
0.8667	1.1860
0.8833	0.8963
0.9000	0.6935
0.9167	0.4907
0.9333	0.3459
0.9500	0.2010
0.9667	0.1431
0.9833	0.2300
1.0000	0.4328
1.0167	0.7514
1.0333	1.0701
1.0500	1.3019
1.0667	1.1860
1.0833	0.8963
1.1000	0.6935
1.1167	0.4618
1.1333	0.3169
1.1500	0.1431
1.1667	0.1431
1.1833	0.3169
1.2000	0.6356
1.2167	0.9832
1.2333	1.3019
1.2500	1.5336
1.2667	1.1570
1.2833	0.8384
1.3000	0.4907
1.3167	0.2590
1.3333	0.2300
1.3500	0.0272
1.3667	0.2010
1.3833	0.3459
1.4000	0.6645
1.4167	1.0991
1.4333	1.4177
1.4500	1.6205
1.4667	1.2149
1.4833	1.0122
1.5000	0.6645
1.5167	0.4618
1.5333	0.3169
1.5500	0.2879
1.5667	0.4618
1.5833	0.6645
1.6000	0.9832
1.6167	1.3019
1.6333	1.5915
1.6500	1.8812
1.6667	1.3019
1.6833	1.0122
1.7000	0.6356
1.7167	0.4618
1.7333	0.3169
1.7500	0.3749
1.7667	0.5776
1.7833	0.8094
1.8000	1.2149
1.8167	1.4467
1.8333	1.8812
1.8500	1.6495
1.8667	1.1570
1.8833	0.7804
1.9000	0.4038
1.9167	0.2590
1.9333	0.1721
1.9500	0.3169
1.9667	0.5776
1.9833	0.9253
2.0000	1.3308
2.0167	1.8812
2.0333	1.8523
2.0500	1.8523
2.0667	1.4467
2.0833	1.0991
2.1000	0.8094
2.1167	0.6935
2.1333	0.6935
2.1500	0.8673
2.1667	1.1280
2.1833	1.4467
2.2000	1.8523
2.2167	1.8523
2.2333	1.8523
2.2500	1.3888
2.2667	1.0122
2.2833	0.6356
2.3000	0.4618
2.3167	0.3459
2.3333	0.4618
2.3500	0.6645
2.3667	0.9253
2.3833	1.2439
2.4000	1.4757
2.4167	1.2729
2.4333	0.9542
2.4500	0.6935
2.4667	0.4907
2.4833	0.4038
2.5000	0.2879
2.5167	0.3459
2.5333	0.6356
2.5500	0.9542
2.5667	1.3598
2.5833	1.8523
2.6000	1.8812
2.6167	1.9971
2.6333	1.9971
2.6500	1.7074
2.6667	1.2149
2.6833	0.9253
2.7000	0.8094
2.7167	0.9253
2.7333	1.0991
2.7500	1.3598
2.7667	1.6495
2.7833	1.8812
2.8000	1.8812
2.8167	1.8812
2.8333	1.3019
2.8500	0.9253
2.8667	0.7514
2.8833	0.6356
2.9000	0.6356
2.9167	0.8094
2.9333	1.0411
2.9500	1.3308
2.9667	1.5915
2.9833	1.8523
3.0000	1.9102
3.0167	1.8812
3.0333	1.6205
3.0500	1.3308
3.0667	1.1280
3.0833	0.9542
3.1000	0.9542
3.1167	1.1860
3.1333	1.4757
3.1500	1.8523
3.1667	1.9681
3.1833	2.0261
3.2000	1.5915
3.2167	1.2439
3.2333	0.8963
3.2500	0.6935
3.2667	0.5197
3.2833	0.3459
3.3000	0.4038
3.3167	0.5776
3.3333	0.8963
3.3500	1.2439
3.3667	1.5336
3.3833	1.3308
3.4000	1.0701
3.4167	0.8963
3.4333	0.7804
3.4500	0.6356
3.4667	0.4328
3.4833	0.4328
3.5000	0.5776
3.5167	0.8384
3.5333	1.2149
3.5500	1.5336
3.5667	1.8523
3.5833	1.4177
3.6000	1.0701
3.6167	0.7225
3.6333	0.4618
3.6500	0.3459
3.6667	0.2590
3.6833	0.3169
3.7000	0.4907
3.7167	0.7514
3.7333	1.0411
3.7500	1.3308
3.7667	1.5915
3.7833	1.4467
3.8000	1.0991
3.8167	0.7225
3.8333	0.4038
3.8500	0.2300
3.8667	0.2010
3.8833	0.3749
3.9000	0.5776
3.9167	0.8963
3.9333	1.2149
3.9500	1.5336
3.9667	1.8233
3.9833	1.7943
4.0000	0.6645
4.0167	0.0852
4.0333	-0.4073
4.0500	-0.5521
4.0667	-0.5232
4.0833	-0.3494
4.1000	-0.1176
4.1167	0.2010
4.1333	0.5487
4.1500	0.8384
4.1667	0.8384
4.1833	0.5487
4.2000	0.3169
4.2167	0.1141
4.2333	-0.0307
4.2500	-0.0597
4.2667	0.0852
4.2833	0.2590
4.3000	0.5776
4.3167	0.8094
4.3333	1.0411
4.3500	1.1570
4.3667	1.0411
4.3833	0.5197
4.4000	0.0272
4.4167	-0.3494
4.4333	-0.5232
4.4500	-0.4652
4.4667	-0.2914
4.4833	-0.0017
4.5000	0.3169
4.5167	0.6356
4.5333	0.9253
4.5500	1.0701
4.5667	0.5197
4.5833	0.0562
4.6000	-0.4363
4.6167	-0.6680
4.6333	-0.7839
4.6500	-0.6390
4.6667	-0.4073
4.6833	-0.1176
4.7000	0.2590
4.7167	0.5776
4.7333	0.8384
4.7500	0.8673
4.7667	0.4038
4.7833	-0.0017
4.8000	-0.4073
4.8167	-0.5232
4.8333	-0.5232
4.8500	-0.3204
4.8667	-0.1176
4.8833	0.1721
4.9000	0.4328
4.9167	0.7514
4.9333	0.9542
4.9500	1.0411
4.9667	0.4328
4.9833	-0.0307
5.0000	-0.5232
5.0167	-0.7260
5.0333	-0.6101
5.0500	-0.4363
5.0667	-0.2045
5.0833	0.0852
5.1000	0.2879
5.1167	0.4328
5.1333	0.2010
5.1500	-0.0597
5.1667	-0.3783
5.1833	-0.5811
5.2000	-0.6970
5.2167	-0.7839
5.2333	-0.6970
5.2500	-0.4942
5.2667	-0.1756
5.2833	0.1431
5.3000	0.4328
5.3167	0.6935
5.3333	0.6645
5.3500	0.3459
5.3667	-0.0307
5.3833	-0.2914
5.4000	-0.4652
5.4167	-0.4652
5.4333	-0.3494
5.4500	-0.1466
5.4667	0.1141
5.4833	0.3459
5.5000	0.5197
5.5167	0.2590
5.5333	-0.0307
5.5500	-0.3783
5.5667	-0.6390
5.5833	-0.8708
5.6000	-1.0156
5.6167	-0.8998
5.6333	-0.6101
5.6500	-0.2045
5.6667	0.1721
5.6833	0.5197
5.7000	0.7804
5.7167	0.7514
5.7333	0.2010
5.7500	-0.2625
5.7667	-0.7260
5.7833	-0.9577
5.8000	-1.0156
5.8167	-0.8998
5.8333	-0.6970
5.8500	-0.3494
5.8667	-0.0017
5.8833	0.3169
5.9000	0.5776
5.9167	0.4038
5.9333	-0.0017
5.9500	-0.4363
5.9667	-0.7839
5.9833	-0.9867
6.0000	-0.9287
6.0167	-0.7260
6.0333	-0.4652
6.0500	-0.1176
6.0667	0.2300
6.0833	0.4618
6.1000	0.6066
6.1167	0.0852
6.1333	-0.4363
6.1500	-0.9577
6.1667	-1.2764
6.1833	-1.3053
6.2000	-1.1895
6.2167	-1.0156
6.2333	-0.6970
6.2500	-0.4073
6.2667	-0.1466
6.2833	-0.1756
6.3000	-0.3783
6.3167	-0.5521
6.3333	-0.8418
6.3500	-1.0156
6.3667	-1.1895
6.3833	-1.1025
6.4000	-0.8418
6.4167	-0.5521
6.4333	-0.1176
6.4500	0.2590
6.4667	0.6356
6.4833	0.8963
6.5000	1.0122
6.5167	0.3459
6.5333	-0.2625
6.5500	-0.6970
6.5667	-1.2764
6.5833	-1.1895
6.6000	-1.0446
6.6167	-0.7260
6.6333	-0.4942
6.6500	-0.1756
6.6667	-0.0017
6.6833	-0.3204
6.7000	-0.5811
6.7167	-0.9287
6.7333	-1.0736
6.7500	-1.1895
6.7667	-1.1605
6.7833	-0.9577
6.8000	-0.6680
6.8167	-0.3494
6.8333	-0.0597
6.8500	0.2300
6.8667	0.3459
6.8833	0.1141
6.9000	-0.2045
6.9167	-0.5811
6.9333	-0.8129
6.9500	-0.9287
6.9667	-0.7839
6.9833	-0.5811
7.0000	-0.2625
7.0167	0.0852
7.0333	0.4038
7.0500	0.6645
7.0667	0.8673
7.0833	0.7514
7.1000	0.0272
7.1167	-0.4652
7.1333	-0.9577
7.1500	-1.0156
7.1667	-0.8418
7.1833	-0.6390
7.2000	-0.3204
7.2167	-0.0017
7.2333	0.3169
7.2500	0.5776
7.2667	0.8384
7.2833	0.5487
7.3000	-0.0597
7.3167	-0.5232
7.3333	-0.8998
7.3500	-0.8129
7.3667	-0.6680
7.3833	-0.3783
7.4000	-0.0886
7.4167	0.2010
7.4333	0.4618
7.4500	0.6356
7.4667	0.4038
7.4833	-0.0597
7.5000	-0.4652
7.5167	-0.7549
7.5333	-0.8708
7.5500	-0.7260
7.5667	-0.5232
7.5833	-0.2625
7.6000	0.0562
7.6167	0.3459
7.6333	0.6066
7.6500	0.7804
7.6667	0.5197
7.6833	-0.0017
7.7000	-0.3783
7.7167	-0.6970
7.7333	-0.8129
7.7500	-0.7549
7.7667	-0.6101
7.7833	-0.2914
7.8000	-0.0886
7.8167	-0.2625
7.8333	-0.5232
7.8500	-0.7260
7.8667	-0.8708
7.8833	-0.9867
7.9000	-1.1315
7.9167	-1.2474
7.9333	-1.1895
7.9500	-0.9867
7.9667	-0.6680
7.9833	-0.3494
8.0000	-0.0886
8.0167	-0.0886
8.0333	-0.3204
8.0500	-0.4652
8.0667	-0.6680
8.0833	-0.8418
8.1000	-1.0736
8.1167	-1.1025
8.1333	-0.9577
8.1500	-0.6970
8.1667	-0.2625
8.1833	0.0562
8.2000	0.3459
8.2167	0.5487
8.2333	0.2590
8.2500	-0.0597
8.2667	-0.4652
8.2833	-0.6970
8.3000	-0.8998
8.3167	-0.8998
8.3333	-0.6970
8.3500	-0.4363
8.3667	-0.1176
8.3833	0.2010
8.4000	0.4907
8.4167	0.5197
8.4333	-0.0886
8.4500	-0.5232
8.4667	-1.0156
8.4833	-1.2474
8.5000	-1.3633
8.5167	-1.2764
8.5333	-1.0736
8.5500	-0.7549
8.5667	-0.4073
8.5833	-0.4652
8.6000	-0.8418
8.6167	-1.0156
8.6333	-1.1895
8.6500	-1.2184
8.6667	-1.2764
8.6833	-1.4212
8.7000	-1.3922
8.7167	-1.2184
8.7333	-0.9577
8.7500	-0.6390
8.7667	-0.4073
8.7833	-0.3494
8.8000	-0.5811
8.8167	-0.7549
8.8333	-1.0156
8.8500	-1.1025
8.8667	-1.2184
8.8833	-1.2184
8.9000	-1.0446
8.9167	-0.7549
8.9333	-0.3783
8.9500	-0.0017
8.9667	0.3459
8.9833	0.6356
9.0000	0.8094
9.0167	0.3169
9.0333	-0.2045
9.0500	-0.6680
9.0667	-0.8998
9.0833	-0.8998
9.1000	-0.7260
9.1167	-0.5232
9.1333	-0.2625
9.1500	0.0272
9.1667	0.2879
9.1833	0.4618
9.2000	0.2879
9.2167	-0.0307
9.2333	-0.3783
9.2500	-0.6101
9.2667	-0.7260
9.2833	-0.6390
9.3000	-0.4073
9.3167	-0.2045
9.3333	0.1431
9.3500	0.4907
9.3667	0.6645
9.3833	0.6935
9.4000	0.3169
9.4167	-0.0597
9.4333	-0.4942
9.4500	-0.6970
9.4667	-0.7260
9.4833	-0.5811
9.5000	-0.2914
9.5167	0.0852
9.5333	0.4618
9.5500	0.7804
9.5667	1.0991
9.5833	1.3308
9.6000	1.1570
9.6167	0.6935
9.6333	0.3169
9.6500	-0.0017
9.6667	0.0562
9.6833	0.2300
9.7000	0.4907
9.7167	0.7514
9.7333	0.9832
9.7500	1.2149
9.7667	1.4177
9.7833	1.2149
9.8000	0.8094
9.8167	0.4038
9.8333	0.0852
9.8500	-0.0017
9.8667	0.1141
9.8833	0.3169
9.9000	0.6356
9.9167	0.9542
9.9333	1.2149
9.9500	1.4467
9.9667	1.8233
9.9833	1.3598
10.0000	1.0122
10.0167	0.6356
10.0333	0.3749
10.0500	0.3169
10.0667	0.4618
10.0833	0.6645
10.1000	1.0122
10.1167	1.3019
10.1333	1.7654
10.1500	1.3019
10.1667	0.8963
10.1833	0.5487
10.2000	0.2300
10.2167	0.0562
10.2333	-0.0886
10.2500	-0.0597
10.2667	0.1141
10.2833	0.4328
10.3000	0.7804
10.3167	1.0411
10.3333	1.2439
10.3500	0.9542
10.3667	0.6935
10.3833	0.3749
10.4000	0.1431
10.4167	-0.0307
10.4333	-0.1466
10.4500	-0.0597
10.4667	0.1431
10.4833	0.4618
10.5000	0.7225
10.5167	0.9542
10.5333	0.8963
10.5500	0.3749
10.5667	0.0852
10.5833	-0.2335
10.6000	-0.3494
10.6167	-0.4652
10.6333	-0.4363
10.6500	-0.2335
10.6667	0.1141
10.6833	0.4328
10.7000	0.7804
10.7167	1.0411
10.7333	0.8963
10.7500	0.6066
10.7667	0.3459
10.7833	0.0852
10.8000	-0.0886
10.8167	-0.2335
10.8333	-0.0597
10.8500	0.2010
10.8667	0.5197
10.8833	0.9542
10.9000	1.2149
10.9167	1.5626
10.9333	1.7654
10.9500	1.5046
10.9667	0.5776
10.9833	-0.0307
11.0000	-0.5232
11.0167	-0.4652
11.0333	-0.3494
11.0500	-0.1176
11.0667	0.2010
11.0833	0.4618
11.1000	0.8673
11.1167	1.1280
11.1333	1.3888
11.1500	0.9253
11.1667	0.3459
11.1833	-0.1756
11.2000	-0.4942
11.2167	-0.4073
11.2333	-0.2914
11.2500	-0.0307
11.2667	0.1721
11.2833	0.4038
11.3000	0.6066
11.3167	0.6066
11.3333	0.1721
11.3500	-0.1756
11.3667	-0.5232
11.3833	-0.7260
11.4000	-0.5521
11.4167	-0.3204
11.4333	0.0272
11.4500	0.3459
11.4667	0.6935
11.4833	0.8963
11.5000	0.6066
11.5167	0.1141
11.5333	-0.3494
11.5500	-0.7260
11.5667	-0.8418
11.5833	-0.8129
11.6000	-0.6390
11.6167	-0.4363
11.6333	-0.1466
11.6500	0.1141
11.6667	0.2300
11.6833	-0.0597
11.7000	-0.2335
11.7167	-0.4363
11.7333	-0.5521
11.7500	-0.6390
11.7667	-0.6390
11.7833	-0.4363
11.8000	-0.1756
11.8167	0.2300
11.8333	0.5487
11.8500	0.8384
11.8667	1.0701
11.8833	1.2439
11.9000	0.8963
11.9167	0.5197
11.9333	0.1431
11.9500	-0.1756
11.9667	-0.1756
11.9833	-0.0597
12.0000	0.2010
12.0167	0.4328
12.0333	0.7225
12.0500	0.9542
12.0667	0.9253
12.0833	0.6645
12.1000	0.3749
12.1167	0.0852
12.1333	-0.0886
12.1500	-0.2045
12.1667	-0.0307
12.1833	0.2300
12.2000	0.5487
12.2167	0.8673
12.2333	1.1570
12.2500	1.4177
12.2667	1.5046
12.2833	1.3019
12.3000	1.0411
12.3167	0.7804
12.3333	0.6066
12.3500	0.5487
12.3667	0.6935
12.3833	0.9253
12.4000	1.2439
12.4167	1.5336
12.4333	1.7943
12.4500	1.5336
12.4667	1.1860
12.4833	0.8963
12.5000	0.5776
12.5167	0.4328
12.5333	0.2300
12.5500	0.2590
12.5667	0.4618
12.5833	0.6935
12.6000	1.0122
12.6167	1.3019
12.6333	1.5915
12.6500	1.2439
12.6667	0.8384
12.6833	0.4328
12.7000	0.1431
12.7167	-0.0597
12.7333	-0.2045
12.7500	-0.1176
12.7667	0.1431
